strategy,params,risk,atr_mult,pnl,dd,trades,equity_end,cagr
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.003,3.0,-49.88,63.17,3,9950.12,-0.14
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.003,3.0,-37.92,63.25,3,9962.08,-0.1
rsi,"period=14,eL=30.0,xL=55.0,ema=200",0.003,3.0,-2.72,64.45,26,9997.28,-0.01
rsi,"period=14,eL=30.0,xL=55.0,ema=200",0.003,2.5,-1.42,77.82,26,9998.58,-0.0
rsi,"period=14,eL=30.0,xL=55.0,ema=200",0.003,2.0,8.98,95.6,26,10008.98,0.02
rsi,"period=14,eL=30.0,xL=55.0,ema=200",0.005,2.0,14.11,159.28,26,10014.11,0.04
rsi,"period=14,eL=30.0,xL=55.0,ema=200",0.01,2.0,23.93,318.28,26,10023.93,0.07
bollinger,"period=50,mult=3.0",0.003,3.0,1110.54,667.22,329,11110.54,2.91
ema,"fast=20,slow=200",0.003,3.0,2705.47,705.16,268,12705.47,6.75
ema,"fast=20,slow=200",0.003,2.5,3321.68,903.92,268,13321.68,8.14
ema,"fast=20,slow=200",0.005,3.0,4717.08,1333.47,268,14717.08,11.11
ema,"fast=20,slow=200",0.005,2.5,5846.17,1789.81,268,15846.17,13.38
ema,"fast=50,slow=100",0.01,3.0,7415.53,3394.91,262,17415.53,16.33
ema,"fast=20,slow=200",0.01,3.0,10408.03,3556.53,268,20408.03,21.47
ema,"fast=20,slow=200",0.01,2.5,13130.91,5245.13,268,23130.91,25.7
