strategy,params,risk,atr_mult,pnl,dd,trades,equity_end,cagr
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.003,3.0,13.71,13.19,3,10013.71,0.04
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.003,2.5,16.46,15.83,3,10016.46,0.04
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.005,3.0,22.85,22.0,3,10022.85,0.06
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.005,2.5,27.42,26.4,3,10027.42,0.07
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.01,3.0,45.68,44.04,3,10045.68,0.12
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.01,2.5,54.81,52.87,3,10054.81,0.15
rsi,"period=14,eL=30.0,xL=50.0,ema=200",0.003,2.0,92.5,128.84,53,10092.5,0.25
rsi,"period=14,eL=30.0,xL=50.0,ema=200",0.005,2.0,152.65,216.09,53,10152.65,0.41
rsi,"period=14,eL=30.0,xL=50.0,ema=200",0.01,2.0,297.56,438.89,53,10297.56,0.8
ema,"fast=50,slow=200",0.003,3.0,446.83,1307.75,385,10446.83,1.2
ema,"fast=30,slow=200",0.003,3.0,795.69,1423.01,473,10795.69,2.11
ema,"fast=20,slow=200",0.003,3.0,1391.79,2194.09,593,11391.79,3.62
ema,"fast=20,slow=200",0.005,3.0,2108.28,4161.57,593,12108.28,5.36
ema,"fast=20,slow=200",0.01,3.0,3015.5,10699.4,593,13015.5,7.45
