strategy,params,risk,atr_mult,pnl,dd,trades,equity_end,cagr
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.003,3.0,60.48,14.14,4,10060.48,0.16
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.003,2.5,72.59,16.98,4,10072.59,0.2
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.003,2.0,90.77,21.25,4,10090.77,0.25
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.005,3.0,100.88,23.62,4,10100.88,0.27
rsi,"period=14,eL=30.0,xL=50.0,ema=200",0.003,3.0,193.89,25.69,12,10193.89,0.53
rsi,"period=14,eL=30.0,xL=50.0,ema=200",0.003,2.5,233.04,30.97,12,10233.04,0.63
rsi,"period=14,eL=30.0,xL=50.0,ema=200",0.003,2.0,296.45,34.49,12,10296.45,0.8
rsi,"period=14,eL=30.0,xL=50.0,ema=200",0.005,3.0,324.85,43.44,12,10324.85,0.88
rsi,"period=14,eL=30.0,xL=50.0,ema=200",0.005,2.5,390.84,52.5,12,10390.84,1.05
rsi,"period=14,eL=30.0,xL=50.0,ema=200",0.005,2.0,498.08,58.73,12,10498.08,1.33
rsi,"period=14,eL=30.0,xL=50.0,ema=200",0.01,3.0,658.27,90.04,12,10658.27,1.75
rsi,"period=14,eL=30.0,xL=50.0,ema=200",0.01,2.5,794.07,109.59,12,10794.07,2.11
rsi,"period=14,eL=30.0,xL=50.0,ema=200",0.01,2.0,1016.45,123.9,12,11016.45,2.68
bollinger,"period=20,mult=2.0",0.003,3.0,1455.04,359.07,284,11455.04,3.77
ema,"fast=10,slow=100",0.003,3.0,1507.42,379.77,121,11507.42,3.9
bollinger,"period=20,mult=2.5",0.003,3.0,1658.17,432.31,226,11658.17,4.27
bollinger,"period=20,mult=3.0",0.003,2.5,1743.49,444.02,192,11743.49,4.48
bollinger,"period=20,mult=2.0",0.003,2.5,1803.68,451.95,285,11803.68,4.63
bollinger,"period=20,mult=2.5",0.003,2.5,2029.11,495.45,226,12029.11,5.17
bollinger,"period=20,mult=2.0",0.003,2.0,2192.58,522.01,291,12192.58,5.56
ema,"fast=30,slow=50",0.003,2.0,2312.02,524.79,119,12312.02,5.84
ema,"fast=10,slow=100",0.003,2.0,2636.85,579.58,121,12636.85,6.59
ema,"fast=10,slow=200",0.003,2.0,3360.61,746.62,77,13360.61,8.22
ema,"fast=10,slow=200",0.005,3.0,3467.15,914.23,77,13467.15,8.46
bollinger,"period=20,mult=2.0",0.005,2.0,3803.62,940.44,291,13803.62,9.19
ema,"fast=30,slow=50",0.005,2.0,3995.51,966.39,119,13995.51,9.6
ema,"fast=10,slow=100",0.005,2.0,4604.3,1066.7,121,14604.3,10.88
ema,"fast=10,slow=200",0.005,2.0,5986.46,1428.08,77,15986.46,13.65
bollinger,"period=20,mult=2.0",0.01,2.5,6768.9,2000.81,285,16768.9,15.14
ema,"fast=10,slow=100",0.01,2.5,7123.49,2185.42,121,17123.49,15.8
ema,"fast=10,slow=200",0.01,3.0,7598.11,2219.74,77,17598.11,16.67
ema,"fast=30,slow=50",0.01,2.0,8672.26,2419.45,119,18672.26,18.57
ema,"fast=10,slow=100",0.01,2.0,10250.95,2666.63,121,20250.95,21.22
ema,"fast=10,slow=200",0.01,2.5,10363.64,2799.89,77,20363.64,21.4
ema,"fast=10,slow=200",0.01,2.0,14022.87,3906.2,77,24022.87,27.0
