strategy,params,risk,atr_mult,pnl,dd,trades,equity_end,cagr
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.003,3.0,39.18,48.93,8,10039.18,0.11
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.003,2.5,53.04,52.74,8,10053.04,0.14
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.003,2.0,73.85,58.49,8,10073.85,0.2
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.005,2.5,88.28,88.35,8,10088.28,0.24
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.005,2.0,122.98,98.11,8,10122.98,0.33
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.01,3.0,129.72,165.49,8,10129.72,0.35
rsi,"period=14,eL=30.0,xL=50.0,ema=200",0.005,2.0,145.8,171.1,22,10145.8,0.4
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.01,2.5,175.95,178.95,8,10175.95,0.48
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.01,2.0,245.45,199.37,8,10245.45,0.66
rsi,"period=14,eL=30.0,xL=50.0,ema=200",0.01,2.0,287.29,349.83,22,10287.29,0.78
bollinger,"period=20,mult=3.0",0.003,3.0,520.0,427.97,394,10520.0,1.39
bollinger,"period=50,mult=3.0",0.003,3.0,1218.88,467.91,177,11218.88,3.19
bollinger,"period=50,mult=3.0",0.003,2.5,1313.58,521.31,179,11313.58,3.42
bollinger,"period=50,mult=2.0",0.003,3.0,1330.69,537.06,287,11330.69,3.47
ema,"fast=30,slow=100",0.003,3.0,2213.27,539.19,181,12213.27,5.6
ema,"fast=30,slow=100",0.003,2.0,2709.13,638.26,181,12709.13,6.76
ema,"fast=30,slow=200",0.003,2.0,2770.42,785.59,102,12770.42,6.9
ema,"fast=20,slow=200",0.003,2.0,3404.15,912.18,132,13404.15,8.32
ema,"fast=30,slow=100",0.005,3.0,3838.56,935.38,181,13838.56,9.26
ema,"fast=30,slow=100",0.005,2.0,4698.07,1177.61,181,14698.07,11.07
ema,"fast=30,slow=200",0.005,2.0,4857.04,1448.61,102,14857.04,11.4
ema,"fast=20,slow=200",0.005,2.0,6074.21,1663.9,132,16074.21,13.82
ema,"fast=30,slow=100",0.01,3.0,8412.52,2056.15,181,18412.52,18.11
ema,"fast=30,slow=100",0.01,2.0,10222.43,3048.11,181,20222.43,21.17
ema,"fast=30,slow=200",0.01,2.0,10909.86,3644.95,102,20909.86,22.28
ema,"fast=20,slow=200",0.01,2.0,14254.57,4394.51,132,24254.57,27.33
