strategy,params,risk,atr_mult,pnl,dd,trades,equity_end,cagr
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.003,3.0,29.43,37.1,8,10029.43,0.08
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.003,2.5,35.29,44.56,8,10035.29,0.1
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.005,3.0,48.96,62.06,8,10048.96,0.13
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.005,2.5,58.71,74.61,8,10058.71,0.16
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.01,3.0,97.52,125.28,8,10097.52,0.27
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.01,2.5,116.83,150.89,8,10116.83,0.32
bollinger,"period=50,mult=3.0",0.003,3.0,1386.82,1462.33,735,11386.82,3.61
bollinger,"period=50,mult=3.0",0.003,2.5,2108.0,1486.22,745,12108.0,5.35
ema,"fast=50,slow=100",0.003,2.0,2834.83,1588.06,546,12834.83,7.04
bollinger,"period=50,mult=3.0",0.003,2.0,2949.57,1732.59,764,12949.57,7.3
ema,"fast=30,slow=200",0.003,2.5,3471.9,2021.93,491,13471.9,8.47
ema,"fast=10,slow=200",0.003,3.0,4590.88,2061.37,745,14590.88,10.85
ema,"fast=20,slow=200",0.003,2.0,4652.64,2151.07,593,14652.64,10.98
ema,"fast=10,slow=200",0.003,2.5,5252.11,2486.49,745,15252.11,12.2
ema,"fast=10,slow=200",0.003,2.0,7794.76,2639.58,745,17794.76,17.02
ema,"fast=10,slow=200",0.005,3.0,8207.14,3739.61,745,18207.14,17.75
ema,"fast=10,slow=200",0.005,2.5,9384.89,4537.9,745,19384.89,19.78
ema,"fast=10,slow=200",0.005,2.0,14636.19,4731.43,745,24636.19,27.87
ema,"fast=10,slow=200",0.01,3.0,18784.04,8967.89,745,28784.04,33.42
ema,"fast=10,slow=200",0.01,2.0,36596.08,10919.84,745,46596.08,52.15
